Date,Number/Day,Percent with Soap wrt Number,Total Time (s),Percent with Soap wrt Time,Average time per handwash,,,,,,
2017-03-04,567,0.4596317,8505,0.8297145,15,,,,,,
2017-03-05,397,0.5660864,3573,0.1237302,9,,,,,,
2017-03-06,6010,0.4076256,84140,0.6183492,14,,,,,,
2017-03-07,3612,0.7713361,28896,0.7790247,8,,,,,,
2017-03-08,7163,0.4175086,57304,0.7451635,8,,,,,,
2017-03-09,6184,0.5019883,68024,0.6743679,11,,,,,,
2017-03-10,5500,0.4981831,82500,0.7964558,15,,,,,,
2017-03-11,585,0.7866258,6435,0.2576907,11,,,,,,
2017-03-12,761,0.76197,7610,0.1035278,10,,,,,,
2017-03-13,7007,0.7869398,98098,0.4711804,14,,,,,,
2017-03-14,4466,0.2876167,62524,0.133446,14,,,,,,
2017-03-15,6686,0.6931339,66860,0.3160746,10,,,,,,
2017-03-16,4908,0.3041217,44172,0.3747865,9,,,,,,
2017-03-17,7294,0.2072672,87528,0.2847788,12,,,,,,
2017-03-18,268,0.3333362,3216,0.1551408,12,,,,,,
2017-03-19,633,0.811934,4431,0.6887591,7,,,,,,
2017-03-20,7008,0.2759479,105120,0.2897633,15,,,,,,
2017-03-21,6309,0.7462507,94635,0.3741553,15,,,,,,
2017-03-22,4909,0.7367794,63817,0.7694944,13,,,,,,
2017-03-23,5388,0.3314621,64656,0.1624597,12,,,,,,
2017-03-24,7368,0.3884686,110520,0.7890628,15,,,,,,
2017-03-25,445,0.3065333,6230,0.7105387,14,,,,,,
2017-03-26,478,0.5994746,6692,0.2858196,14,,,,,,
2017-03-27,6321,0.6926319,44247,0.2384209,7,,,,,,
2017-03-28,6785,0.335003,101775,0.1960945,15,,,,,,
2017-03-29,7484,0.8952627,112260,0.2155972,15,,,,,,
2017-03-30,7568,0.5521393,52976,0.1512833,7,,,,,,
2017-03-31,5629,0.7695322,73177,0.6739305,13,,,,,,
2017-04-01,435,0.2028815,5655,0.1804632,13,,,,,,
2017-04-02,744,0.7001777,8184,0.0696834,11,,,,,,
2017-04-03,5912,0.3226436,47296,0.0603652,8,,,,,,
2017-04-04,6434,0.2634849,83642,0.4784494,13,,,,,,
2017-04-05,5145,0.7304018,77175,0.7357587,15,,,,,,
2017-04-06,5380,0.3995142,43040,0.6383308,8,,,,,,
2017-04-07,4271,0.2953039,55523,0.5900566,13,,,,,,
2017-04-08,319,0.3316304,3190,0.7926827,10,,,,,,
2017-04-09,582,0.4143935,8730,0.2714137,15,,,,,,
2017-04-10,6939,0.7765667,90207,0.5078827,13,,,,,,
2017-04-11,7300,0.4922987,87600,0.5604575,12,,,,,,
2017-04-12,3934,0.2585973,55076,0.6273355,14,,,,,,
2017-04-13,5360,0.2341354,80400,0.8362896,15,,,,,,
2017-04-14,7340,0.7317795,73400,0.8594957,10,,,,,,
2017-04-15,396,0.3464115,5940,0.1490468,15,,,,,,
2017-04-16,682,0.5345948,10230,0.2263049,15,,,,,,
2017-04-17,5026,0.8023772,75390,0.4677813,15,,,,,,
2017-04-18,5579,0.4168143,72527,0.8397894,13,,,,,,
2017-04-19,5907,0.3735961,82698,0.8673677,14,,,,,,
2017-04-20,3781,0.4456573,30248,0.649879,8,,,,,,
2017-04-21,5572,0.8396722,44576,0.5754056,8,,,,,,
2017-04-22,279,0.6879714,3069,0.345669,11,,,,,,
2017-04-23,609,0.2354253,5481,0.3205872,9,,,,,,
2017-04-24,5669,0.3119973,79366,0.7868983,14,,,,,,
2017-04-25,5829,0.7424231,58290,0.2156527,10,,,,,,
2017-04-26,6311,0.6224385,82043,0.3157436,13,,,,,,
2017-04-27,4262,0.8453292,42620,0.7235175,10,,,,,,
2017-04-28,3503,0.6509598,42036,0.8331239,12,,,,,,
2017-04-29,317,0.554504,4121,0.7958883,13,,,,,,
2017-04-30,589,0.4386522,6479,0.6778946,11,,,,,,
2017-05-01,4794,0.6926561,62322,0.2433809,13,,,,,,
2017-05-02,4499,0.2181604,62986,0.8336095,14,,,,,,
2017-05-03,6490,0.2723388,90860,0.4893244,14,,,,,,
2017-05-04,4729,0.6260495,33103,0.3805159,7,,,,,,
2017-05-05,7049,0.6310862,63441,0.5591413,9,,,,,,
2017-05-06,545,0.3635558,4905,0.4279406,9,,,,,,
2017-05-07,693,0.6064936,6930,0.0884848,10,,,,,,
2017-05-08,3597,0.2306895,53955,0.4324396,15,,,,,,
2017-05-09,6779,0.5846074,54232,0.687076,8,,,,,,
2017-05-10,4755,0.7465822,61815,0.8643715,13,,,,,,
2017-05-11,5229,0.8048722,41832,0.4819616,8,,,,,,
2017-05-12,4674,0.7001877,51414,0.3180955,11,,,,,,
2017-05-13,345,0.3251162,3105,0.5478977,9,,,,,,
2017-05-14,753,0.4856915,6777,0.2820577,9,,,,,,
2017-05-15,6818,0.6317022,61362,0.5575718,9,,,,,,
2017-05-16,7363,0.7329346,95719,0.7081712,13,,,,,,
2017-05-17,3708,0.5143027,55620,0.5390194,15,,,,,,
2017-05-18,6756,0.2003505,74316,0.1555931,11,,,,,,
2017-05-19,5963,0.4251456,41741,0.6653163,7,,,,,,
2017-05-20,293,0.7174195,3223,0.2782045,11,,,,,,
2017-05-21,690,0.2296534,6900,0.7903184,10,,,,,,
2017-05-22,5350,0.6004343,42800,0.116997,8,,,,,,
2017-05-23,6165,0.4762039,43155,0.7108254,7,,,,,,
2017-05-24,6794,0.2922252,101910,0.2827458,15,,,,,,
2017-05-25,7264,0.4430508,94432,0.6199704,13,,,,,,
2017-05-26,7616,0.5074621,60928,0.2856063,8,,,,,,
2017-05-27,408,0.220379,4488,0.3737953,11,,,,,,
2017-05-28,436,0.7795679,6104,0.4036691,14,,,,,,
2017-05-29,6455,0.5727814,83915,0.8777808,13,,,,,,
2017-05-30,5502,0.8468299,49518,0.5903147,9,,,,,,
2017-05-31,5710,0.2144252,51390,0.1673173,9,,,,,,
2017-06-01,4872,0.622164,63336,0.6051078,13,,,,,,
2017-06-02,5549,0.2777497,38843,0.6568158,7,,,,,,
2017-06-03,394,0.4823413,4728,0.6379268,12,,,,,,
2017-06-04,342,0.7341936,4446,0.8025781,13,,,,,,
2017-06-05,7476,0.7589493,67284,0.0764612,9,,,,,,
2017-06-06,5436,0.45448,65232,0.3677009,12,,,,,,
2017-06-07,7076,0.7549397,49532,0.2277679,7,,,,,,
2017-06-08,4165,0.5014642,45815,0.1425786,11,,,,,,
2017-06-09,6441,0.7446674,83733,0.3916487,13,,,,,,
2017-06-10,557,0.6946248,3899,0.5922985,7,,,,,,
2017-06-11,570,0.337904,4560,0.6365303,8,,,,,,
2017-06-12,3654,0.5921035,29232,0.3037616,8,,,,,,
2017-06-13,3633,0.2790493,32697,0.6953287,9,,,,,,
2017-06-14,5268,0.6638348,68484,0.3906705,13,,,,,,
2017-06-15,5967,0.3437482,89505,0.6060828,15,,,,,,
2017-06-16,4442,0.5314019,35536,0.7547833,8,,,,,,
2017-06-17,464,0.4113477,5568,0.7029108,12,,,,,,
2017-06-18,739,0.5867563,7390,0.4264228,10,,,,,,
2017-06-19,4442,0.2784127,57746,0.5806824,13,,,,,,
2017-06-20,5646,0.8156086,73398,0.5234899,13,,,,,,
2017-06-21,8000,0.851202,72000,0.6612111,9,,,,,,
2017-06-22,3991,0.2436821,59865,0.8298406,15,,,,,,
2017-06-23,5786,0.6457502,86790,0.227826,15,,,,,,
2017-06-24,310,0.5808739,2480,0.885465,8,,,,,,
2017-06-25,755,0.7766153,5285,0.5804507,7,,,,,,
2017-06-26,5783,0.7566817,46264,0.3465716,8,,,,,,
2017-06-27,4486,0.3691243,40374,0.6893983,9,,,,,,
2017-06-28,4010,0.8585751,36090,0.2674652,9,,,,,,
2017-06-29,4469,0.5432251,31283,0.6525294,7,,,,,,
2017-06-30,5356,0.5618174,48204,0.8591999,9,,,,,,
2017-07-01,399,0.2628005,5187,0.1611516,13,,,,,,
2017-07-02,439,0.2738391,4390,0.8260498,10,,,,,,
2017-07-03,7578,0.5912102,68202,0.4014967,9,,,,,,
2017-07-04,4262,0.234088,34096,0.1762787,8,,,,,,
2017-07-05,6706,0.3692551,80472,0.3397338,12,,,,,,
2017-07-06,4787,0.8324424,71805,0.6013595,15,,,,,,
2017-07-07,3534,0.4328764,45942,0.7721507,13,,,,,,
2017-07-08,403,0.818643,5239,0.5476994,13,,,,,,
2017-07-09,303,0.8178082,2121,0.4859848,7,,,,,,
2017-07-10,3964,0.5609129,43604,0.7450381,11,,,,,,
2017-07-11,4719,0.6027375,66066,0.8381105,14,,,,,,
2017-07-12,3580,0.3600159,39380,0.1271028,11,,,,,,
2017-07-13,7047,0.827892,49329,0.1027015,7,,,,,,
2017-07-14,3913,0.4146741,39130,0.1815859,10,,,,,,
2017-07-15,397,0.3753419,2779,0.1469626,7,,,,,,
2017-07-16,461,0.426703,6915,0.4070069,15,,,,,,
2017-07-17,6853,0.8417634,47971,0.3965679,7,,,,,,
2017-07-18,5811,0.8227826,63921,0.3493779,11,,,,,,
2017-07-19,5334,0.2286679,37338,0.6089304,7,,,,,,
2017-07-20,5007,0.3816556,60084,0.0703567,12,,,,,,
2017-07-21,3646,0.4060317,40106,0.4778685,11,,,,,,
2017-07-22,334,0.7115454,2672,0.5070237,8,,,,,,
2017-07-23,540,0.7085427,3780,0.4500439,7,,,,,,
2017-07-24,6448,0.6283888,70928,0.8733885,11,,,,,,
2017-07-25,4896,0.4846065,63648,0.4875572,13,,,,,,
2017-07-26,3866,0.2287713,46392,0.7230293,12,,,,,,
2017-07-27,6877,0.6935817,75647,0.7808085,11,,,,,,
2017-07-28,7197,0.8985304,71970,0.664528,10,,,,,,
2017-07-29,495,0.7957513,3465,0.5759134,7,,,,,,
2017-07-30,485,0.8817579,6790,0.42045,14,,,,,,
2017-07-31,7022,0.3916918,49154,0.1727781,7,,,,,,
2017-08-01,4703,0.2622809,65842,0.7121168,14,,,,,,
2017-08-02,7173,0.3909215,57384,0.7865366,8,,,,,,
2017-08-03,6816,0.475356,74976,0.867853,11,,,,,,
2017-08-04,3780,0.6042303,56700,0.0682821,15,,,,,,
2017-08-05,250,0.4809865,2000,0.6263004,8,,,,,,
2017-08-06,428,0.4966054,3424,0.3632201,8,,,,,,
2017-08-07,5675,0.5807237,62425,0.2550425,11,,,,,,
2017-08-08,6651,0.6651322,53208,0.7682772,8,,,,,,
2017-08-09,4234,0.3331191,55042,0.8452822,13,,,,,,
2017-08-10,6965,0.2305548,62685,0.6253673,9,,,,,,
2017-08-11,3618,0.3001046,43416,0.1022096,12,,,,,,
2017-08-12,560,0.4869979,5600,0.8222305,10,,,,,,
2017-08-13,407,0.2853841,4477,0.8659727,11,,,,,,
2017-08-14,4191,0.7342323,41910,0.3190794,10,,,,,,
2017-08-15,4122,0.6151088,28854,0.4699145,7,,,,,,
2017-08-16,6181,0.7974119,43267,0.3263428,7,,,,,,
2017-08-17,4227,0.6190201,59178,0.7323169,14,,,,,,
2017-08-18,5008,0.5712568,60096,0.5310714,12,,,,,,
2017-08-19,253,0.7978153,1771,0.3763464,7,,,,,,
2017-08-20,655,0.8316805,6550,0.6135427,10,,,,,,
2017-08-21,4652,0.5530284,55824,0.147235,12,,,,,,
2017-08-22,4351,0.3582225,34808,0.0987968,8,,,,,,
2017-08-23,7521,0.3020913,105294,0.2303744,14,,,,,,
2017-08-24,6900,0.6443495,89700,0.1523457,13,,,,,,
2017-08-25,7279,0.2311816,94627,0.2822995,13,,,,,,
2017-08-26,529,0.802978,4232,0.5177086,8,,,,,,
2017-08-27,651,0.5427472,4557,0.1238265,7,,,,,,
2017-08-28,7529,0.8312297,52703,0.1397418,7,,,,,,
2017-08-29,5169,0.897505,77535,0.7074802,15,,,,,,
2017-08-30,7349,0.4270205,58792,0.2229902,8,,,,,,
2017-08-31,4267,0.6630766,34136,0.7975335,8,,,,,,
2017-09-01,5477,0.4300876,76678,0.8470328,14,,,,,,
2017-09-02,454,0.3764539,3632,0.489552,8,,,,,,
2017-09-03,320,0.2445328,4800,0.4435529,15,,,,,,
2017-09-04,4287,0.7628098,64305,0.460656,15,,,,,,
2017-09-05,4040,0.4726659,36360,0.7674967,9,,,,,,
2017-09-06,5914,0.7838362,88710,0.8410557,15,,,,,,
2017-09-07,4704,0.3475298,61152,0.6049641,13,,,,,,
2017-09-08,5691,0.4115999,62601,0.2196409,11,,,,,,
2017-09-09,373,0.3236291,4849,0.4504622,13,,,,,,
2017-09-10,399,0.4631537,3990,0.3142187,10,,,,,,
2017-09-11,5178,0.5497842,36246,0.1858601,7,,,,,,
2017-09-12,6768,0.408475,94752,0.2088725,14,,,,,,
2017-09-13,5665,0.6879299,39655,0.8570419,7,,,,,,
2017-09-14,3723,0.3400475,48399,0.2776884,13,,,,,,
2017-09-15,4184,0.7131911,29288,0.6091369,7,,,,,,
2017-09-16,272,0.6841049,2720,0.2930787,10,,,,,,
2017-09-17,547,0.7611124,8205,0.3114303,15,,,,,,
2017-09-18,4289,0.7978968,30023,0.6006751,7,,,,,,
2017-09-19,6474,0.4089603,90636,0.7049517,14,,,,,,
2017-09-20,4795,0.55225,52745,0.8563494,11,,,,,,
2017-09-21,6811,0.8960126,102165,0.7967235,15,,,,,,
2017-09-22,7511,0.2339147,105154,0.7495244,14,,,,,,
2017-09-23,525,0.2541222,4725,0.4798294,9,,,,,,
2017-09-24,746,0.4701879,8952,0.4348668,12,,,,,,
2017-09-25,5542,0.8028719,83130,0.6102297,15,,,,,,
2017-09-26,5892,0.5773236,76596,0.1881349,13,,,,,,
2017-09-27,7791,0.5978887,85701,0.2067235,11,,,,,,
2017-09-28,6244,0.7429165,87416,0.8181743,14,,,,,,
2017-09-29,5602,0.340269,67224,0.6564518,12,,,,,,
2017-09-30,594,0.2335957,7128,0.2979144,12,,,,,,
2017-10-01,613,0.301406,4291,0.6592443,7,,,,,,
2017-10-02,4051,0.5057933,56714,0.5934942,14,,,,,,
2017-10-03,4602,0.4317274,50622,0.7553407,11,,,,,,
2017-10-04,7623,0.6189945,106722,0.4092429,14,,,,,,
2017-10-05,4350,0.5425931,65250,0.5231024,15,,,,,,
2017-10-06,4272,0.311552,51264,0.1006342,12,,,,,,
2017-10-07,568,0.2596192,8520,0.6882401,15,,,,,,
2017-10-08,416,0.3520213,6240,0.4900533,15,,,,,,
2017-10-09,4502,0.4605346,40518,0.1982821,9,,,,,,
2017-10-10,6934,0.3955839,104010,0.4582414,15,,,,,,
2017-10-11,3933,0.676081,31464,0.5625114,8,,,,,,
2017-10-12,7934,0.2485056,55538,0.4839625,7,,,,,,
2017-10-13,4628,0.819519,32396,0.6857317,7,,,,,,
2017-10-14,486,0.4762569,4860,0.5451675,10,,,,,,
2017-10-15,747,0.7992608,10458,0.8846828,14,,,,,,
2017-10-16,5074,0.5281691,50740,0.4740742,10,,,,,,
2017-10-17,3675,0.3193333,44100,0.1614675,12,,,,,,
2017-10-18,5151,0.353085,66963,0.8503952,13,,,,,,
2017-10-19,4107,0.2987642,36963,0.4442287,9,,,,,,
2017-10-20,5957,0.2219456,71484,0.7571444,12,,,,,,
2017-10-21,580,0.6525411,5800,0.1731613,10,,,,,,
2017-10-22,361,0.6038444,2527,0.0860971,7,,,,,,
2017-10-23,7431,0.6136688,59448,0.7367246,8,,,,,,
2017-10-24,4119,0.2409281,53547,0.4115943,13,,,,,,
2017-10-25,5928,0.5895321,59280,0.3099555,10,,,,,,
2017-10-26,6457,0.8408673,64570,0.896725,10,,,,,,
2017-10-27,5923,0.8910467,65153,0.4415021,11,,,,,,
2017-10-28,327,0.4108822,3924,0.3985363,12,,,,,,
2017-10-29,329,0.2645759,3619,0.0843877,11,,,,,,
2017-10-30,4590,0.2529473,41310,0.4710677,9,,,,,,
2017-10-31,7823,0.5936035,109522,0.8192763,14,,,,,,
2017-11-01,5130,0.3010372,76950,0.8985347,15,,,,,,
2017-11-02,3666,0.2173954,36660,0.107839,10,,,,,,
2017-11-03,4519,0.8951142,36152,0.5214323,8,,,,,,
2017-11-04,288,0.2420478,4320,0.6567982,15,,,,,,
2017-11-05,403,0.4539963,5239,0.334883,13,,,,,,
2017-11-06,5554,0.6897916,72202,0.372119,13,,,,,,
2017-11-07,7276,0.7295163,94588,0.784104,13,,,,,,
2017-11-08,6737,0.4377606,67370,0.645788,10,,,,,,
2017-11-09,4327,0.6148792,51924,0.1258525,12,,,,,,
2017-11-10,4897,0.4190534,53867,0.3467266,11,,,,,,
2017-11-11,466,0.2450891,4194,0.3723057,9,,,,,,
2017-11-12,394,0.4530044,2758,0.5524673,7,,,,,,
2017-11-13,6924,0.8602215,48468,0.8221283,7,,,,,,
2017-11-14,5500,0.5652887,60500,0.2590153,11,,,,,,
2017-11-15,5370,0.3321862,48330,0.8106841,9,,,,,,
2017-11-16,7615,0.3560026,91380,0.1745253,12,,,,,,
2017-11-17,6915,0.2169595,103725,0.1726807,15,,,,,,
2017-11-18,509,0.5811444,6617,0.4229696,13,,,,,,
2017-11-19,355,0.3138484,4615,0.7052667,13,,,,,,
2017-11-20,6968,0.3989224,83616,0.677255,12,,,,,,
2017-11-21,7094,0.7592275,99316,0.5854834,14,,,,,,
2017-11-22,3591,0.5097862,35910,0.8043093,10,,,,,,
2017-11-23,7090,0.7214604,99260,0.3063631,14,,,,,,
2017-11-24,7967,0.7065644,119505,0.2704464,15,,,,,,
2017-11-25,262,0.8894828,3144,0.8568402,12,,,,,,
2017-11-26,358,0.7206785,3222,0.5266184,9,,,,,,
2017-11-27,3974,0.655838,47688,0.1004885,12,,,,,,
2017-11-28,4219,0.7979752,54847,0.6277832,13,,,,,,
2017-11-29,7641,0.2971325,106974,0.3381576,14,,,,,,
2017-11-30,6803,0.2731828,68030,0.8984714,10,,,,,,
2017-12-01,4016,0.3921115,44176,0.5576153,11,,,,,,
2017-12-02,490,0.8833047,6860,0.5133458,14,,,,,,
2017-12-03,656,0.6736181,8528,0.6070898,13,,,,,,
2017-12-04,6384,0.4419892,89376,0.8723041,14,,,,,,
2017-12-05,7801,0.8835593,70209,0.3847305,9,,,,,,
2017-12-06,6025,0.7302399,66275,0.5246511,11,,,,,,
2017-12-07,6019,0.6633639,42133,0.16374,7,,,,,,
2017-12-08,3931,0.4662789,58965,0.8148855,15,,,,,,
2017-12-09,455,0.413365,6825,0.4582643,15,,,,,,
2017-12-10,642,0.3590118,8346,0.318383,13,,,,,,
2017-12-11,4215,0.8050347,59010,0.2152882,14,,,,,,
2017-12-12,6558,0.4378693,91812,0.6679243,14,,,,,,
2017-12-13,6921,0.6986426,89973,0.7872719,13,,,,,,
2017-12-14,7384,0.5231378,66456,0.8538345,9,,,,,,
2017-12-15,4186,0.3555185,62790,0.4124818,15,,,,,,
2017-12-16,524,0.6968355,6812,0.1728399,13,,,,,,
2017-12-17,368,0.5500496,5152,0.2728306,14,,,,,,
2017-12-18,7608,0.7335739,76080,0.6546813,10,,,,,,
2017-12-19,7814,0.7873193,54698,0.4186587,7,,,,,,
2017-12-20,7520,0.7835743,67680,0.4322419,9,,,,,,
2017-12-21,4559,0.479755,45590,0.1392133,10,,,,,,
2017-12-22,7349,0.3712283,66141,0.4820306,9,,,,,,
2017-12-23,542,0.5492085,5962,0.2914044,11,,,,,,
2017-12-24,758,0.4467881,9096,0.3582228,12,,,,,,
2017-12-25,3727,0.6055826,55905,0.4536942,15,,,,,,
2017-12-26,4422,0.5524236,53064,0.6381969,12,,,,,,
2017-12-27,5770,0.4035953,80780,0.8137751,14,,,,,,
2017-12-28,4369,0.59522,65535,0.1225503,15,,,,,,
2017-12-29,4597,0.7029246,36776,0.533317,8,,,,,,
2017-12-30,339,0.2557745,2373,0.4582106,7,,,,,,
2017-12-31,307,0.7107384,3684,0.4882433,12,,,,,,
2018-01-01,7055,0.4024619,63495,0.1886855,9,,,,,,
2018-01-02,6824,0.4136959,88712,0.3602564,13,,,,,,
2018-01-03,5109,0.6945509,35763,0.5633219,7,,,,,,
2018-01-04,4120,0.7478409,61800,0.3574791,15,,,,,,
2018-01-05,4474,0.3707826,40266,0.6645284,9,,,,,,
2018-01-06,425,0.6145974,5950,0.3880303,14,,,,,,
2018-01-07,783,0.2490365,5481,0.6486474,7,,,,,,
2018-01-08,5736,0.3589969,68832,0.1552387,12,,,,,,
2018-01-09,6180,0.6127487,74160,0.5764745,12,,,,,,
2018-01-10,6532,0.745621,52256,0.4793633,8,,,,,,
2018-01-11,7228,0.4890781,57824,0.3667708,8,,,,,,
2018-01-12,4721,0.5419647,42489,0.1506969,9,,,,,,
2018-01-13,327,0.8450655,4251,0.2506492,13,,,,,,
2018-01-14,773,0.3548785,6957,0.072696,9,,,,,,
2018-01-15,3567,0.276093,35670,0.433273,10,,,,,,
2018-01-16,7057,0.8283345,63513,0.2971998,9,,,,,,
2018-01-17,6268,0.6422632,75216,0.490469,12,,,,,,
2018-01-18,6871,0.86863,96194,0.6156131,14,,,,,,
2018-01-19,7326,0.29048,58608,0.6105321,8,,,,,,
2018-01-20,318,0.5149211,3498,0.6958829,11,,,,,,
2018-01-21,512,0.5469571,6144,0.6573006,12,,,,,,
2018-01-22,4748,0.2546144,37984,0.3370713,8,,,,,,
2018-01-23,4735,0.5622414,52085,0.3001057,11,,,,,,
2018-01-24,6729,0.7352874,47103,0.2849421,7,,,,,,
2018-01-25,4656,0.2250373,55872,0.7055878,12,,,,,,
2018-01-26,4753,0.4612087,42777,0.813468,9,,,,,,
2018-01-27,391,0.6944877,5474,0.0815789,14,,,,,,
2018-01-28,334,0.3283646,4676,0.711022,14,,,,,,
2018-01-29,7275,0.5001163,65475,0.8065284,9,,,,,,
2018-01-30,7088,0.2791109,106320,0.5508586,15,,,,,,
2018-01-31,4930,0.619617,49300,0.2203632,10,,,,,,
2018-02-01,5561,0.8911711,72293,0.1050531,13,,,,,,
2018-02-02,6819,0.7945605,95466,0.5924544,14,,,,,,
2018-02-03,592,0.50202,6512,0.2678336,11,,,,,,
2018-02-04,391,0.3323399,5474,0.3104215,14,,,,,,
2018-02-05,5312,0.2712158,42496,0.7820086,8,,,,,,
2018-02-06,4542,0.2998368,54504,0.2875398,12,,,,,,
2018-02-07,7106,0.6520543,78166,0.3568366,11,,,,,,
2018-02-08,5346,0.6155709,42768,0.5902267,8,,,,,,
2018-02-09,7713,0.6267469,84843,0.8424063,11,,,,,,
2018-02-10,413,0.7333671,4543,0.6382623,11,,,,,,
2018-02-11,409,0.3621329,5726,0.4205798,14,,,,,,
2018-02-12,7457,0.6912369,82027,0.8100588,11,,,,,,
2018-02-13,4885,0.4940931,63505,0.6119989,13,,,,,,
2018-02-14,5945,0.6555726,77285,0.2414909,13,,,,,,
2018-02-15,4576,0.5147424,32032,0.4998608,7,,,,,,
2018-02-16,6147,0.8845916,61470,0.1831024,10,,,,,,
2018-02-17,391,0.7263029,4301,0.3063829,11,,,,,,
2018-02-18,402,0.7441566,5628,0.8795782,14,,,,,,
2018-02-19,6149,0.2352614,61490,0.8087676,10,,,,,,
2018-02-20,6579,0.2242355,65790,0.1211123,10,,,,,,
2018-02-21,6339,0.4886913,69729,0.681721,11,,,,,,
2018-02-22,7479,0.7707338,112185,0.5416136,15,,,,,,
2018-02-23,6834,0.4140598,47838,0.489515,7,,,,,,
2018-02-24,312,0.5746767,2808,0.1676649,9,,,,,,
2018-02-25,506,0.7699276,6578,0.8970847,13,,,,,,
2018-02-26,4387,0.6341173,65805,0.0602126,15,,,,,,
2018-02-27,7689,0.8080689,115335,0.690798,15,,,,,,
2018-02-28,4083,0.3193573,36747,0.6779505,9,,,,,,
2018-03-01,5854,0.2396408,40978,0.3254143,7,,,,,,
2018-03-02,6312,0.2433082,63120,0.647053,10,,,,,,
2018-03-03,502,0.7066898,6526,0.7732524,13,,,,,,
2018-03-04,795,0.5781298,6360,0.1683843,8,,,,,,
2018-03-05,7845,0.2287645,109830,0.7287066,14,,,,,,
2018-03-06,3955,0.5712572,43505,0.7678629,11,,,,,,
2018-03-07,7873,0.6102592,110222,0.6313411,14,,,,,,
2018-03-08,5260,0.3666733,42080,0.7805794,8,,,,,,
2018-03-09,4335,0.8770891,47685,0.2412821,11,,,,,,
2018-03-10,571,0.6241721,5710,0.5359685,10,,,,,,
2018-03-11,702,0.3691991,7722,0.5593086,11,,,,,,
2018-03-12,7939,0.849614,95268,0.308686,12,,,,,,
2018-03-13,7341,0.6703708,51387,0.3115495,7,,,,,,
2018-03-14,4231,0.4501909,55003,0.4299088,13,,,,,,
2018-03-15,6998,0.8524531,97972,0.4194714,14,,,,,,
2018-03-16,5574,0.3843307,78036,0.6232955,14,,,,,,
2018-03-17,487,0.8490928,6331,0.837879,13,,,,,,
2018-03-18,412,0.7089357,5768,0.1114407,14,,,,,,
2018-03-19,4466,0.8268283,53592,0.3518155,12,,,,,,
2018-03-20,6999,0.2987494,83988,0.4531164,12,,,,,,
2018-03-21,7656,0.8973342,68904,0.734104,9,,,,,,
2018-03-22,7190,0.7195835,100660,0.0714616,14,,,,,,
2018-03-23,4670,0.3574163,60710,0.5586322,13,,,,,,
2018-03-24,266,0.5870641,1862,0.8572285,7,,,,,,
2018-03-25,763,0.6761838,7630,0.7834172,10,,,,,,
2018-03-26,6624,0.4644755,92736,0.1655674,14,,,,,,
2018-03-27,7653,0.5692836,91836,0.6821795,12,,,,,,
2018-03-28,6524,0.8935635,45668,0.2575683,7,,,,,,
2018-03-29,4618,0.3955059,36944,0.5279568,8,,,,,,
2018-03-30,4648,0.5636473,65072,0.2709815,14,,,,,,
2018-03-31,558,0.6036775,5580,0.6459761,10,,,,,,
2018-04-01,337,0.2196252,4381,0.0669636,13,,,,,,
2018-04-02,4236,0.7058987,50832,0.122201,12,,,,,,
2018-04-03,7033,0.2251905,77363,0.8546639,11,,,,,,
2018-04-04,3734,0.3081588,44808,0.7401788,12,,,,,,
2018-04-05,6484,0.6286005,51872,0.4788522,8,,,,,,
2018-04-06,3823,0.3126816,34407,0.8153062,9,,,,,,
2018-04-07,452,0.5714802,4520,0.2745136,10,,,,,,
2018-04-08,543,0.2491344,7059,0.5408612,13,,,,,,
2018-04-09,3739,0.2792722,48607,0.861997,13,,,,,,
2018-04-10,7819,0.4790084,109466,0.7088314,14,,,,,,
2018-04-11,4077,0.4778879,32616,0.1216249,8,,,,,,
2018-04-12,5548,0.5258708,77672,0.3695678,14,,,,,,
2018-04-13,3539,0.5891196,42468,0.4059594,12,,,,,,
2018-04-14,436,0.5339495,6104,0.181701,14,,,,,,
2018-04-15,450,0.6045448,4500,0.3089157,10,,,,,,
2018-04-16,5041,0.6947657,60492,0.3949152,12,,,,,,
2018-04-17,4812,0.4686597,72180,0.6323967,15,,,,,,
2018-04-18,5595,0.2976545,50355,0.7687438,9,,,,,,
2018-04-19,7964,0.3735543,55748,0.6211065,7,,,,,,
2018-04-20,7566,0.472794,105924,0.7985861,14,,,,,,
2018-04-21,363,0.5410285,3630,0.2916421,10,,,,,,
2018-04-22,667,0.6811849,8004,0.6778627,12,,,,,,
2018-04-23,4080,0.3175597,36720,0.1554581,9,,,,,,
2018-04-24,5589,0.3324805,61479,0.505155,11,,,,,,
2018-04-25,5664,0.4502518,39648,0.6402392,7,,,,,,
2018-04-26,4276,0.4689685,38484,0.4163227,9,,,,,,
2018-04-27,4631,0.8477157,50941,0.2393522,11,,,,,,
2018-04-28,410,0.3264056,2870,0.6547738,7,,,,,,
2018-04-29,564,0.3097223,6204,0.6415028,11,,,,,,
2018-04-30,4347,0.8402176,30429,0.7095748,7,,,,,,
2018-05-01,4719,0.3222412,42471,0.1922134,9,,,,,,
2018-05-02,5534,0.7513132,44272,0.2220387,8,,,,,,
2018-05-03,4345,0.510904,56485,0.4143091,13,,,,,,
2018-05-04,7216,0.2951778,101024,0.6156559,14,,,,,,
2018-05-05,489,0.8384339,4890,0.8688171,10,,,,,,
